paypal-login,60
verify-account,50
secure-login,50
account-update,50
payment-update,50
billing-issue,50
password-reset,50
confirm-identity,50
unauthorized-access,60
login-attempt,50
wallet-connect,50
recover-account,50
customer-support,30
security-alert,40
account-recovery,50
verify-id,50
secure-auth,50
update-payment,50
identity-check,50
fraud-alert,40
suspicious-activity,50
service-desk,30
help-desk,30
credential,25
authenticate,25
sweepstakes,30
ransomware,40
phishing,40
obfuscate,20
keylogger,40
botnet,40
malware,40
spyware,30
trojan,30
invoice,15
billing,15
refund,15
crypto,15
bitcoin,15
ethereum,15
blockchain,15
violation,20
suspended,20
restricted,20
guarantee,10
login,10
signin,10
auth,10
admin,10
portal,5
support,5
service,5
secure,5
verify,10
wallet,10
password,15
banking,15
payment,10
transaction,10
urgent,10
immediate,10
expire,10
validation,10
reactivate,15
unlock,15
ssl,5
encrypted,5
base64,15
redirect,15
proxy,10
spoof,20
impersonate,20
masquerade,20
discord-nitro-free,60
steam-gift,40
free-robux,60
vbucks-generator,60
